00589.ppm;GTSDB_1004.ppm;444;480;455;493;161
00589.ppm;GTSDB_1005.ppm;387;477;400;490;161
00078.ppm;GTSDB_123.ppm;773;501;800;514;161
00857.ppm;GTSDB_1452.ppm;791;484;822;497;161
00893.ppm;GTSDB_1497.ppm;1162;562;1199;598;161
00106.ppm;GTSDB_176.ppm;359;524;396;562;161
00112.ppm;GTSDB_202.ppm;875;534;882;543;161
00126.ppm;GTSDB_234.ppm;672;420;686;431;161
00126.ppm;GTSDB_235.ppm;631;419;645;432;161
00126.ppm;GTSDB_237.ppm;531;419;548;437;161
00126.ppm;GTSDB_238.ppm;486;422;505;441;161
00126.ppm;GTSDB_239.ppm;445;421;468;445;161
00273.ppm;GTSDB_538.ppm;799;488;833;500;161
00307.ppm;GTSDB_602.ppm;1331;434;1349;451;161
00307.ppm;GTSDB_603.ppm;1203;444;1221;461;161
00307.ppm;GTSDB_605.ppm;948;458;968;479;161
00318.ppm;GTSDB_619.ppm;605;483;630;507;161
00318.ppm;GTSDB_621.ppm;13;455;93;540;161
00589.ppm;GTSDB_996.ppm;42;477;74;514;161
00589.ppm;GTSDB_997.ppm;94;472;119;500;161
00589.ppm;GTSDB_999.ppm;172;470;189;491;161
