content,score,thumbsUpCount,topic
"A very useful and unique app with a simple UI similar to messaging apps. Just fix these issues to make it even better: 1- in English you write from left to right on the page, but in some other languages like Persian it's opposite and Because of that sentences look out of place and hard to work with if it's not in English and this problem wasn't present in older versions. 2- Make the Date/Time option To not change text order and just add it after the last sentence in bottom right.",4,0,Request for Enhancements
Latest version keeps crashing after I open it,1,0,App Crashes
Dude both your apps are everything i've always wanted. Thank you.,5,0,Positive User Experience
love how simple is this but please let us scroll photos on each thread,4,0,Request for Enhancements
easy simple asthetic and a fun way to jornal,5,0,User-Friendly Design
Really a great application but widget will make this application No 1,5,0,Request for Enhancements
Not much for a very intuitive app! Thanks so much!,5,0,User-Friendly Design
Best personal note taking app.. Feels like chatting with oneself..,5,0,Unique Note Organization
Very easy application to use..,5,0,User-Friendly Design
Exactly what I needed! So easy to implement.,5,0,Ease of Use
App crashing after recent update,1,0,App Crashes
excellent for keeping track of things,5,0,Ease of Use
Great app to use for studies and exercising,4,0,Positive User Experience
Would be nice to add an alert reminder,5,0,Reminders and Notifications
"Was great, now won't open after update",1,0,App Crashes
"Crash on s20, please fix the bugs.",1,0,App Crashes
"Earlier it was good, everything was in free version",1,0,Trial Usage
It keeps closing so can't use it,1,0,App Crashes
This is what I need. Glad found it. Great job 👍,5,0,Positive User Experience
hello the app just crashed. i can't open it. can u please fix it ASAP? i need my notes,3,0,App Crashes
Awesome app! Hope there's plans for a Windows version.,5,0,Other
Best note taking app.,5,0,Positive User Experience
"Ads free, simple, well done, awesome app.",5,0,User-Friendly Design
I can't secure my notes behind a password,1,0,Data Loss Anxiety
Simple and smart. Absolutely recommended.,5,0,Positive User Experience
Look good easy to take notes .. simple and handy Thanks,5,0,User-Friendly Design
The app is not opening. Cannot access the ap,1,0,App Crashes
I love the app (got the PRO) I hope they add Files support,4,0,"File and Document Support: Requests for the ability to attach and save various document types (e.g., PDFs, Word files)."
It should have folders something like that to srore all chats in 1 folder sort of,1,0,Search and Organization Tools
I just downloaded the app today and I'm already so happy with it. Great work!,5,0,Initial Impressions
I really like this App Must try but please can someone tell me how I lock my notes I'm really confused about this I don't know how I lock my notes?,4,0,Request for Enhancements
Great app I will be extremely glad if this app can remain ad free,5,0,Other
"The app keeps crashing , notes are lost?",1,0,App Crashes
Suddenly crashed and now not able to restore my notes,1,0,Data Loss Anxiety
Convenient and easy to use,4,0,Ease of Use
Works perfectly for quick notes,5,0,Ease of Use
I have just started using this app and loved the concept. ❤️,4,0,Initial Impressions
Great note app for self note taking...,5,0,Positive User Experience
Landscape support for tablet would be welcome.,4,0,Other
I like everything but the chat style notes. Its just not for me,4,0,Unique Note Organization
App not opening after December 10 update,3,0,App Crashes
Expecting this app to get a future and hoping this to see in a couples of years become recognized,5,0,Other
Best note app and also my day to day app now. Love you dev 👏💟,5,0,Positive User Experience
🚩 Please Can you give us an option to setup Alarm for Notes 🙏,5,0,Reminders and Notifications
easy and friendly to use.,5,0,User-Friendly Design
My favorite app. Very convenient to use.,5,0,Ease of Use
So far my overall experiece is awesome. Love this app.,5,0,Positive User Experience
I love this app fun and easy to use,5,0,Positive User Experience
"Doesn't lock, all categories at bottom? I don't need your opinion on what I need to take notes on jackass",1,0,User-Friendly Design
"Great so far, simple to use.",4,0,Ease of Use
Please make it possible to mention old texts,4,0,Search and Organization Tools
What is wrong with the app? It is not opening,1,0,App Crashes
Simplicity at its best.,5,0,User-Friendly Design
"Have only been using it 2 days now, but so far very useful app!",5,0,Initial Impressions
It is very useful app. Kindly add trash bin also.,5,0,Request for Enhancements
Please allow us to archive our notes pretty please 🙏,5,0,File and Document Support
Very useful for personal notes,5,0,Ease of Use
the best note taking app one can have,5,0,Positive User Experience
I really love the application.. it's awesome great work 🤝,5,0,Positive User Experience
Would love to be able to set notifications on certain messages?,4,0,Reminders and Notifications
So far so Good. Great Idea. I am Looking forward to using this App.,4,0,Initial Impressions
Looking forward for Reminders feature.,5,0,Reminders and Notifications
This is amazing. I always needed something like this.,5,0,Initial Impressions
The app keeps on crashing on my phone,2,0,App Crashes
first of all thank you you made such a nice application I am a blind person I have no problem with this app,4,0,User-Friendly Design
"i haven't restored my notes, and now they're gone, thanks to you.",1,0,Backup and Recovery Improvements
Spend more time stopping than taking notes Can't do this,1,0,Ease of Use
"I can't open the app, I don't wanna lose my notes 😭",2,0,Data Loss Anxiety
Very simple very useful personally me,5,0,Ease of Use
Very nice note app for Journaling,5,0,Therapeutic Note-Taking
We need amoled dark mode And video and bdf files Thx for this app keep going,5,0,Request for Enhancements
Excellent application keep it up,5,0,Positive User Experience
Keep up the good work! Great app.,5,0,Positive User Experience
The app is not compatible with Google pixel 8 pro,2,0,Other
"Unfortunately I can't restore my backup on a new phone, please fix it asap 🙏",2,0,Backup and Recovery Improvements
I Love it !! Now all my friends use it XD Also the short movie was so good :),5,0,Positive User Experience
Like,5,0,Other
it's okay I guess.. although I have to change the date manually for when I have to submit a thought which I don't always quite remember to do,4,0,Reminders and Notifications
"Amazing application, can you add little bit theme like WhatsApp so that it feels more similar. Great job done !!!",5,0,Unique Note Organization
This app's excellence has woven itself into my daily life. I deeply appreciate such an incredible application!,5,0,Positive User Experience
Fantastic app and I really appreciate you making it available. I'd just like you to know that its made a world of difference in someone's life and I wish you the best.,5,0,Therapeutic Note-Taking
I found this app very useful 👍 but this app having some empty space so change little but ui of this app by the way thanks providing this app to us 🤟...........and keep growing up 💓,5,0,User-Friendly Design
"Good app but I noticed when I enable the lock option, it didn't locked the app. So when I open the app, it's already unlock.",5,0,User-Friendly Design
Simple & practical app. Can't wait to see it's development journey.,5,0,Initial Impressions
Everthing is awesome only hopes there is category feature to differentiate notes. So that we can multiple category,5,0,Search and Organization Tools
My NTS Pro is not yet activated. I am unable to edit my text formodifications and corrections.,3,0,Editing Features
"Very nice App, really useful 🤗 would like one thing: different colors for text bubbles...",5,0,Request for Enhancements
Simple yet effective way of writing and saving notes. I like it.,4,0,Ease of Use
Outstanding app. Simple and eloquent. Very user-friendly.,5,0,User-Friendly Design
"Just bought pro, amazing app to quickly write down something you want to remember later.",5,0,Positive User Experience
"Really great app and concept, but I need Google assistant integration for full convenience",3,0,Request for Enhancements
"This is what i looking for i hope you guys keep this app simple , plz add reminder feature too for example : if i type ( i want to call mr raam at 5pm and set reminder) and i will recived an reply(by bot : you told me reminder that u want to call mr raam) similar like whatsapp we reply from friends in notification no alarm",5,0,Reminders and Notifications
"It is good , but when playing voice message on my poco f2 pro , there is no sound !!",3,0,Other
